test_id,temperature_C,fuel_vol_pct,n2_added_vol_pct,o2_vol_pct,ignited,regime
A001,25.0,4.153,7.000,18.613,0,lean
A002,25.0,9.184,25.672,13.648,0,rich
A003,25.0,15.253,16.582,14.281,0,rich
A004,25.0,18.414,21.943,12.495,0,rich
A005,25.0,12.687,28.780,12.263,0,rich
A006,25.0,11.930,2.776,17.869,1,flammable
A007,25.0,13.343,17.730,14.440,0,rich
A008,25.0,6.665,2.996,18.926,1,flammable
A009,25.0,4.725,9.024,18.070,0,lean
A010,25.0,5.853,18.713,15.803,1,flammable
A011,25.0,14.728,3.150,17.205,1,flammable
A012,25.0,9.555,39.254,10.725,0,rich
A013,25.0,19.672,42.772,7.868,0,inerted
A014,25.0,13.813,31.699,11.415,0,rich
A015,25.0,13.003,42.607,9.300,0,inerted
A016,25.0,11.643,2.278,18.034,1,flammable
A017,25.0,10.387,40.092,10.375,0,rich
A018,25.0,15.166,1.728,17.411,1,flammable
A019,25.0,12.328,48.985,8.105,0,inerted
A020,25.0,10.735,4.314,17.797,1,flammable
A021,25.0,13.041,12.459,15.608,1,flammable
A022,25.0,15.064,38.782,9.669,0,rich
A023,25.0,19.628,35.538,9.393,0,rich
A024,25.0,16.281,31.130,11.017,0,rich
A025,25.0,18.208,25.382,11.818,0,rich
A026,25.0,11.849,36.683,10.783,0,rich
A027,25.0,3.552,48.762,9.990,0,inerted
A028,25.0,10.423,45.214,9.294,0,inerted
A029,25.0,7.131,39.509,11.179,0,rich
A030,25.0,14.560,1.173,17.654,1,flammable
A031,25.0,16.330,8.206,15.810,0,rich
A032,25.0,5.546,34.625,12.534,1,flammable
A033,25.0,6.145,42.801,10.696,0,inerted
A034,25.0,9.424,39.609,10.678,0,rich
A035,25.0,5.637,3.000,19.140,1,flammable
A036,25.0,10.026,4.718,17.861,1,flammable
A037,25.0,8.776,28.259,13.191,0,rich
A038,25.0,8.831,34.397,11.894,0,rich
A039,25.0,19.807,40.578,8.299,0,rich
A040,25.0,0.522,47.203,10.952,0,lean
A041,25.0,6.563,13.138,16.822,1,flammable
A042,25.0,1.062,1.404,20.433,0,lean
A043,25.0,1.089,49.616,10.327,0,lean
A044,25.0,13.338,46.385,8.438,0,inerted
A045,25.0,17.263,31.174,10.803,0,rich
