t_min,CH4,H2O,H2,CO
0,0.73604,0.89408,-0.0039291,-0.0034587
1,0.74296,0.91777,-0.0019422,0.0013287
2,0.74234,0.8985,0.0010585,0.0072035
3,0.74588,0.89577,0.010228,0.012154
4,0.74625,0.8974,0.0043824,-0.00057014
5,0.74067,0.88933,0.0044558,-0.005319
6,0.73475,0.89566,0.016341,0.024913
7,0.75385,0.89964,0.0097557,0.02332
8,0.74214,0.88804,-0.0037462,0.022539
9,0.74382,0.89926,0.019839,0.034066
10,0.7462,0.90566,0.023508,0.025357
11,0.73864,0.8874,0.047947,0.025487
12,0.74302,0.89697,0.022063,0.048025
13,0.72203,0.89118,0.058539,0.060021
14,0.73071,0.90197,0.059374,0.050527
15,0.72788,0.90512,0.070953,0.075894
16,0.72548,0.90471,0.071435,0.085187
17,0.73571,0.89076,0.06768,0.093638
18,0.72249,0.89091,0.08318,0.12174
19,0.70954,0.8935,0.12102,0.1185
20,0.72142,0.89248,0.1053,0.13044
21,0.72254,0.90331,0.13152,0.14169
22,0.71799,0.88549,0.13135,0.16559
23,0.71056,0.8963,0.12923,0.1774
24,0.70396,0.88373,0.15581,0.19282
25,0.70891,0.86933,0.16829,0.22481
26,0.69477,0.87292,0.18185,0.23554
27,0.71405,0.86881,0.19535,0.23962
28,0.6952,0.87473,0.21245,0.269
29,0.69932,0.89474,0.21177,0.26395
30,0.70319,0.88027,0.21305,0.25846
31,0.68017,0.8731,0.25369,0.30895
32,0.6945,0.87596,0.25111,0.30656
33,0.69302,0.86277,0.26153,0.32005
34,0.6969,0.88567,0.26684,0.34876
35,0.70103,0.87626,0.28828,0.36655
36,0.69866,0.85996,0.27957,0.34776
37,0.70359,0.88376,0.28394,0.38305
38,0.66717,0.89254,0.31197,0.37425
39,0.6697,0.8666,0.30637,0.39648
40,0.67881,0.88038,0.32862,0.41784
41,0.65889,0.87995,0.33376,0.42598
42,0.65961,0.87708,0.34285,0.43836
43,0.68029,0.86994,0.34992,0.45786
44,0.66576,0.88019,0.36188,0.44895
45,0.67045,0.86288,0.37384,0.46261
46,0.66349,0.87009,0.35857,0.47857
47,0.652,0.86466,0.38309,0.48656
