test_id,campaign,temperature_C,fuel_vol_pct,n2_added_vol_pct,o2_vol_pct,ignited,regime
A001,A,25.0,4.153,7.000,18.613,0,lean
A002,A,25.0,9.184,25.672,13.648,0,rich
A003,A,25.0,15.253,16.582,14.281,0,rich
A004,A,25.0,18.414,21.943,12.495,0,rich
A005,A,25.0,12.687,28.780,12.263,0,rich
A006,A,25.0,11.930,2.776,17.869,1,flammable
A007,A,25.0,13.343,17.730,14.440,0,rich
A008,A,25.0,6.665,2.996,18.926,1,flammable
A009,A,25.0,4.725,9.024,18.070,0,lean
A010,A,25.0,5.853,18.713,15.803,1,flammable
A011,A,25.0,14.728,3.150,17.205,1,flammable
A012,A,25.0,9.555,39.254,10.725,0,rich
A013,A,25.0,19.672,42.772,7.868,0,inerted
A014,A,25.0,13.813,31.699,11.415,0,rich
A015,A,25.0,13.003,42.607,9.300,0,inerted
A016,A,25.0,11.643,2.278,18.034,1,flammable
A017,A,25.0,10.387,40.092,10.375,0,rich
A018,A,25.0,15.166,1.728,17.411,1,flammable
A019,A,25.0,12.328,48.985,8.105,0,inerted
A020,A,25.0,10.735,4.314,17.797,1,flammable
A021,A,25.0,13.041,12.459,15.608,1,flammable
A022,A,25.0,15.064,38.782,9.669,0,rich
A023,A,25.0,19.628,35.538,9.393,0,rich
A024,A,25.0,16.281,31.130,11.017,0,rich
A025,A,25.0,18.208,25.382,11.818,0,rich
A026,A,25.0,11.849,36.683,10.783,0,rich
A027,A,25.0,3.552,48.762,9.990,0,inerted
A028,A,25.0,10.423,45.214,9.294,0,inerted
A029,A,25.0,7.131,39.509,11.179,0,rich
A030,A,25.0,14.560,1.173,17.654,1,flammable
A031,A,25.0,16.330,8.206,15.810,0,rich
A032,A,25.0,5.546,34.625,12.534,1,flammable
A033,A,25.0,6.145,42.801,10.696,0,inerted
A034,A,25.0,9.424,39.609,10.678,0,rich
A035,A,25.0,5.637,3.000,19.140,1,flammable
A036,A,25.0,10.026,4.718,17.861,1,flammable
A037,A,25.0,8.776,28.259,13.191,0,rich
A038,A,25.0,8.831,34.397,11.894,0,rich
A039,A,25.0,19.807,40.578,8.299,0,rich
A040,A,25.0,0.522,47.203,10.952,0,lean
A041,A,25.0,6.563,13.138,16.822,1,flammable
A042,A,25.0,1.062,1.404,20.433,0,lean
A043,A,25.0,1.089,49.616,10.327,0,lean
A044,A,25.0,13.338,46.385,8.438,0,inerted
A045,A,25.0,17.263,31.174,10.803,0,rich
A046,A,25.0,18.278,17.329,13.490,0,rich
A047,A,25.0,2.743,47.775,10.366,0,inerted
A048,A,25.0,8.459,0.145,19.147,1,flammable
A049,A,25.0,9.535,44.804,9.566,0,inerted
A050,A,25.0,9.054,46.758,9.257,0,inerted
A051,A,25.0,19.746,26.628,11.235,0,rich
A052,A,25.0,14.200,8.961,16.098,0,rich
A053,A,25.0,16.065,47.619,7.608,0,inerted
A054,A,25.0,8.852,8.510,17.313,1,flammable
A055,A,25.0,6.835,44.936,10.104,0,inerted
A056,A,25.0,19.249,41.765,8.168,0,inerted
A057,A,25.0,9.787,8.338,17.153,1,flammable
A058,A,25.0,9.308,38.365,10.962,0,rich
A059,A,25.0,9.837,38.670,10.788,0,rich
A060,A,25.0,9.633,43.987,9.717,0,inerted
A061,A,25.0,10.393,27.243,13.065,0,rich
A062,A,25.0,0.285,21.468,16.393,0,lean
A063,A,25.0,19.201,12.877,14.230,0,rich
A064,A,25.0,9.844,21.099,14.467,1,flammable
A065,A,25.0,17.249,35.711,9.855,0,rich
A066,A,25.0,9.107,29.902,12.778,0,rich
A067,A,25.0,16.594,18.405,13.618,0,rich
A068,A,25.0,14.808,19.075,13.852,0,rich
A069,A,25.0,11.896,9.478,16.472,1,flammable
A070,A,25.0,1.676,49.489,10.231,0,inerted
A071,A,25.0,19.022,43.978,7.752,0,inerted
A072,A,25.0,8.607,11.471,16.744,1,flammable
A073,A,25.0,4.964,23.240,15.041,0,lean
A074,A,25.0,1.484,9.346,18.681,0,lean
A075,A,25.0,7.376,49.908,8.949,0,inerted
A076,A,25.0,3.238,35.435,12.848,0,lean
A077,A,25.0,2.753,32.246,13.618,0,lean
A078,A,25.0,3.288,28.639,14.261,0,lean
A079,A,25.0,15.718,30.205,11.329,0,rich
A080,A,25.0,9.333,42.297,10.134,0,inerted
A081,A,25.0,19.908,22.594,12.046,0,rich
A082,A,25.0,10.426,38.648,10.669,0,rich
A083,A,25.0,18.751,42.898,8.035,0,inerted
A084,A,25.0,3.618,49.396,9.844,0,inerted
A085,A,25.0,5.874,0.657,19.582,1,flammable
A086,A,25.0,16.427,1.733,17.145,0,rich
A087,A,25.0,18.026,35.509,9.734,0,rich
A088,A,25.0,5.175,18.599,15.969,1,flammable
A089,A,25.0,11.790,14.826,15.374,1,flammable
A090,A,25.0,10.826,6.842,17.249,1,flammable
A091,A,25.0,17.236,12.836,14.650,0,rich
A092,A,25.0,15.250,25.239,12.468,0,rich
A093,A,25.0,12.741,45.677,8.712,0,inerted
A094,A,25.0,5.380,13.779,16.936,1,flammable
A095,A,25.0,11.193,45.519,9.069,0,inerted
A096,A,25.0,9.291,38.797,10.876,0,rich
A097,A,25.0,14.157,47.769,7.977,0,inerted
A098,A,25.0,12.297,30.708,11.941,0,rich
A099,A,25.0,16.142,0.346,17.496,0,rich
A100,A,25.0,18.541,6.634,15.676,0,rich
A101,A,25.0,11.285,13.621,15.732,1,flammable
A102,A,25.0,10.412,38.526,10.698,0,rich
A103,A,25.0,2.792,41.543,11.662,0,lean
A104,A,25.0,10.495,2.362,18.256,1,flammable
A105,A,25.0,9.932,4.403,17.947,1,flammable
A106,A,25.0,10.833,30.028,12.390,0,rich
A107,A,25.0,0.428,19.047,16.870,0,lean
A108,A,25.0,4.854,14.994,16.792,0,lean
A109,A,25.0,12.739,35.281,10.890,0,rich
A110,A,25.0,6.817,31.902,12.838,1,flammable
A111,A,25.0,4.178,47.383,10.148,0,inerted
A112,A,25.0,0.900,26.596,15.190,0,lean
A113,A,25.0,3.772,36.396,12.535,0,lean
A114,A,25.0,5.934,8.722,17.880,1,flammable
A115,A,25.0,3.904,27.952,14.276,0,lean
A116,A,25.0,0.066,33.357,13.948,0,lean
A117,A,25.0,14.899,3.502,17.095,1,flammable
A118,A,25.0,16.161,2.947,16.947,0,rich
A119,A,25.0,11.946,24.385,13.339,0,rich
A120,A,25.0,12.278,6.959,16.920,1,flammable
A121,A,25.0,14.094,13.459,15.178,0,rich
A122,A,25.0,15.737,28.819,11.616,0,rich
A123,A,25.0,1.887,26.397,15.024,0,lean
A124,A,25.0,16.436,0.243,17.456,0,rich
A125,A,25.0,18.632,43.318,7.972,0,inerted
A126,A,25.0,15.089,33.511,10.768,0,rich
A127,A,25.0,14.533,35.491,10.470,0,rich
